MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
26.0,4,96.0,69.0,2189.0,18.0,72,Europe
21.6,4,121.0,115.0,2795.0,15.7,78,Europe
36.1,4,91.0,60.0,1800.0,16.4,78,Japan
26.0,4,91.0,70.0,1955.0,20.5,71,USA
27.0,4,140.0,86.0,2790.0,15.6,82,USA
28.0,4,97.0,75.0,2155.0,16.4,76,Japan
13.0,8,400.0,170.0,4746.0,12.0,71,USA
26.0,4,97.0,75.0,2265.0,18.2,77,Japan
19.0,6,225.0,95.0,3264.0,16.0,75,USA
29.0,4,68.0,49.0,1867.0,19.5,73,Europe
15.0,8,390.0,190.0,3850.0,8.5,70,USA
19.0,6,156.0,108.0,2930.0,15.5,76,Japan
16.9,8,350.0,155.0,4360.0,14.9,79,USA
29.0,4,97.0,75.0,2171.0,16.0,75,Japan
16.2,6,163.0,133.0,3410.0,15.8,78,Europe
28.0,4,112.0,88.0,2605.0,19.6,82,USA
20.0,6,198.0,95.0,3102.0,16.5,74,USA
32.4,4,108.0,75.0,2350.0,16.8,81,Japan
27.4,4,121.0,80.0,2670.0,15.0,79,USA
35.0,4,122.0,88.0,2500.0,15.1,80,Europe
22.0,6,198.0,95.0,2833.0,15.5,70,USA
44.0,4,97.0,52.0,2130.0,24.6,82,Europe
34.1,4,91.0,68.0,1985.0,16.0,81,Japan
18.0,8,307.0,130.0,3504.0,12.0,70,USA
26.0,4,79.0,67.0,1963.0,15.5,74,Europe
26.0,4,98.0,90.0,2265.0,15.5,73,Europe
21.0,4,120.0,87.0,2979.0,19.5,72,Europe
16.0,6,225.0,105.0,3439.0,15.5,71,USA
26.0,4,97.0,46.0,1950.0,21.0,73,Europe
22.0,4,121.0,76.0,2511.0,18.0,72,Europe
15.0,8,350.0,145.0,4440.0,14.0,75,USA
19.4,6,232.0,90.0,3210.0,17.2,78,USA
19.2,8,267.0,125.0,3605.0,15.0,79,USA
31.6,4,120.0,74.0,2635.0,18.3,81,Japan
13.0,8,400.0,150.0,4464.0,12.0,73,USA
38.0,4,91.0,67.0,1995.0,16.2,82,Japan
14.0,8,302.0,140.0,4638.0,16.0,74,USA
25.0,4,97.5,80.0,2126.0,17.0,72,USA
13.0,8,302.0,140.0,4294.0,16.0,72,USA
10.0,8,360.0,215.0,4615.0,14.0,70,USA
13.0,8,307.0,130.0,4098.0,14.0,72,USA
24.0,4,90.0,75.0,2108.0,15.5,74,Europe
36.0,4,105.0,74.0,1980.0,15.3,82,Europe
26.0,4,97.0,78.0,2300.0,14.5,74,Europe
14.0,8,351.0,148.0,4657.0,13.5,75,USA
13.0,8,440.0,215.0,4735.0,11.0,73,USA
19.0,6,250.0,100.0,3282.0,15.0,71,USA
37.3,4,91.0,69.0,2130.0,14.7,79,Europe
21.0,4,140.0,72.0,2401.0,19.5,73,USA
29.0,4,90.0,70.0,1937.0,14.2,76,Europe
14.0,8,351.0,153.0,4154.0,13.5,71,USA
24.0,4,113.0,95.0,2278.0,15.5,72,Japan
28.0,4,140.0,90.0,2264.0,15.5,71,USA
36.0,4,120.0,88.0,2160.0,14.5,82,Japan
22.0,6,232.0,112.0,2835.0,14.7,82,USA
16.0,6,258.0,110.0,3632.0,18.0,74,USA
20.0,8,262.0,110.0,3221.0,13.5,75,USA
20.0,6,232.0,100.0,2914.0,16.0,75,USA
25.0,4,104.0,95.0,2375.0,17.5,70,Europe
25.0,4,113.0,95.0,2228.0,14.0,71,Japan
12.0,8,455.0,225.0,4951.0,11.0,73,USA
22.5,6,232.0,90.0,3085.0,17.6,76,USA
26.8,6,173.0,115.0,2700.0,12.9,79,USA
23.0,4,120.0,88.0,2957.0,17.0,75,Europe
21.1,4,134.0,95.0,2515.0,14.8,78,Japan
25.0,4,116.0,81.0,2220.0,16.9,76,Europe
25.1,4,140.0,88.0,2720.0,15.4,78,USA
29.0,4,90.0,70.0,1937.0,14.0,75,Europe
19.9,8,260.0,110.0,3365.0,15.5,78,USA
15.0,8,429.0,198.0,4341.0,10.0,70,USA
22.0,4,140.0,72.0,2408.0,19.0,71,USA
13.0,8,350.0,175.0,4100.0,13.0,73,USA
22.0,6,146.0,97.0,2815.0,14.5,77,Japan
18.0,3,70.0,90.0,2124.0,13.5,73,Japan
17.6,6,225.0,85.0,3465.0,16.6,81,USA
28.0,4,98.0,80.0,2164.0,15.0,72,USA
15.0,8,350.0,145.0,4082.0,13.0,73,USA
16.0,8,304.0,150.0,3433.0,12.0,70,USA
27.0,4,97.0,88.0,2130.0,14.5,70,Japan
